                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5161,                 3.7397,                  1.646,                0.00056,                0.01429,                0.00029,                  6e-05,                 3.9155,                    inf,                 8.4199,                 0.0712,                 0.0032,                 0.0032
                      2,                 1.4187,                 1.8604,                 1.1101,                0.04983,                 0.7212,                0.34743,                0.23008,                 1.2505,                 2.6843,                 1.0878,               0.041436,              0.0064357,              0.0064357
                      3,                 1.3645,                 1.6684,                 1.0835,                0.04953,                0.70964,                0.37842,                0.23921,                 1.2995,                 2.6101,                 1.1342,               0.011606,               0.009606,               0.009606
                      4,                 1.3342,                 1.5366,                 1.0587,                0.56265,                0.40346,                0.49735,                0.28085,                 1.4345,                  1.946,                 1.1375,               0.009703,               0.009703,               0.009703
                      5,                 1.2549,                 1.4444,                  1.029,                0.47168,                0.65722,                0.56526,                0.36366,                 1.1663,                 1.3989,                 1.0623,               0.009703,               0.009703,               0.009703
                      6,                 1.2217,                 1.3863,                 1.0029,                0.47401,                0.64482,                0.57072,                0.37462,                 1.1469,                 1.3385,                 1.0204,               0.009604,               0.009604,               0.009604
                      7,                  1.181,                 1.3115,                0.98913,                0.41532,                0.66278,                 0.5897,                0.40309,                  1.103,                 1.4617,                 1.0105,               0.009505,               0.009505,               0.009505
                      8,                 1.1777,                 1.2729,                0.98684,                0.51687,                0.64206,                0.58681,                0.40204,                 1.0984,                 1.2695,                0.99244,               0.009406,               0.009406,               0.009406
                      9,                 1.1387,                 1.2423,                0.96962,                0.52352,                0.65555,                0.62912,                0.42779,                 1.0949,                 1.2781,                0.98886,               0.009307,               0.009307,               0.009307
                     10,                 1.1224,                 1.2066,                0.95868,                0.55491,                0.66901,                0.64013,                 0.4403,                 1.0834,                 1.1471,                0.98598,               0.009208,               0.009208,               0.009208
                     11,                 1.1105,                 1.1812,                0.96386,                0.52827,                0.71509,                0.66301,                0.45201,                 1.0751,                 1.1527,                0.97861,               0.009109,               0.009109,               0.009109
                     12,                 1.1147,                 1.1776,                0.95599,                0.55834,                0.68604,                0.63005,                0.43707,                 1.1003,                 1.1446,                0.98411,                0.00901,                0.00901,                0.00901
                     13,                 1.1054,                 1.1332,                0.95135,                 0.5118,                0.71419,                0.60971,                  0.417,                 1.0923,                 1.6615,                0.98765,               0.008911,               0.008911,               0.008911
                     14,                 1.1077,                 1.1304,                0.95146,                0.46142,                0.71637,                0.62322,                0.43539,                 1.1058,                  1.139,                0.98707,               0.008812,               0.008812,               0.008812
                     15,                 1.0911,                 1.1004,                0.95296,                0.45199,                0.71843,                0.63249,                0.42986,                 1.1236,                 1.2211,                 1.0046,               0.008713,               0.008713,               0.008713
                     16,                 1.0838,                 1.0912,                0.94039,                0.52759,                0.70745,                0.65009,                0.44776,                 1.1559,                 1.0926,                 1.0001,               0.008614,               0.008614,               0.008614
                     17,                 1.0737,                 1.0727,                0.94041,                0.60316,                0.72166,                 0.7105,                0.50293,                 1.0396,                 1.0387,                0.96487,               0.008515,               0.008515,               0.008515
                     18,                 1.0694,                 1.0616,                0.94318,                0.59379,                0.68365,                0.67627,                0.47659,                 1.0239,                 1.0714,                0.95562,               0.008416,               0.008416,               0.008416
                     19,                 1.0678,                 1.0505,                0.93691,                0.61092,                0.70896,                0.69414,                 0.4962,                 1.0296,                 1.0091,                0.95929,               0.008317,               0.008317,               0.008317
                     20,                 1.0765,                 1.0396,                0.94524,                0.46616,                0.71833,                0.65595,                0.44978,                 1.1537,                 1.2789,                0.99766,               0.008218,               0.008218,               0.008218
                     21,                 1.0645,                 1.0432,                0.93949,                0.55405,                0.69619,                0.63004,                0.45349,                 1.0413,                 1.1245,                0.96028,               0.008119,               0.008119,               0.008119
                     22,                 1.0624,                 1.0429,                0.93518,                0.62432,                0.69075,                0.67893,                0.47766,                 1.0633,                 1.0373,                0.96402,                0.00802,                0.00802,                0.00802
                     23,                 1.0449,                 1.0213,                0.93176,                0.59224,                0.70902,                 0.6916,                0.47257,                 1.0894,                 1.0389,                0.97488,               0.007921,               0.007921,               0.007921
                     24,                 1.0538,                 1.0301,                0.93301,                0.59424,                0.72691,                0.66778,                0.47985,                 1.0514,                 1.0143,                0.96192,               0.007822,               0.007822,               0.007822
                     25,                 1.0506,                 1.0095,                0.93162,                0.57275,                0.73752,                0.70234,                0.49952,                 1.0149,                0.98408,                 0.9466,               0.007723,               0.007723,               0.007723
                     26,                 1.0527,                0.99822,                0.93122,                0.60833,                0.73411,                0.72261,                0.51644,                 1.0293,                 0.9702,                0.95415,               0.007624,               0.007624,               0.007624
