                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3012,                 2.8103,                 1.0452,                0.06795,                0.94754,                 0.4607,                0.32862,                 1.0566,                 2.4211,                0.99082,                 0.0712,                 0.0032,                 0.0032
                      2,                 1.1773,                 1.4816,                0.98431,                  0.382,                0.82113,                0.58312,                0.39326,                 1.0836,                 2.3565,                0.98579,               0.041436,              0.0064357,              0.0064357
                      3,                 1.2189,                 1.4061,                0.99406,                0.54328,                0.64001,                0.61794,                0.37901,                 1.2502,                 1.5139,                 1.0553,               0.011606,               0.009606,               0.009606
                      4,                 1.2116,                 1.3231,                0.98561,                0.53988,                0.70889,                0.63256,                0.41658,                 1.1188,                 1.3597,                0.99768,               0.009703,               0.009703,               0.009703
                      5,                   1.16,                 1.2422,                0.97157,                 0.5809,                0.69556,                0.65275,                  0.439,                 1.1619,                 1.2768,                 1.0201,               0.009703,               0.009703,               0.009703
                      6,                 1.1493,                 1.1962,                0.96233,                0.56844,                0.68595,                0.65116,                0.44352,                  1.069,                  1.276,                0.96828,               0.009604,               0.009604,               0.009604
                      7,                 1.1161,                 1.1447,                0.95247,                0.58267,                0.70651,                0.66315,                0.47149,                 1.0554,                 1.0988,                0.96612,               0.009505,               0.009505,               0.009505
                      8,                 1.1112,                  1.108,                0.95464,                0.56857,                 0.7158,                0.67195,                0.47101,                  1.029,                 1.0758,                0.95442,               0.009406,               0.009406,               0.009406
                      9,                 1.0797,                 1.0858,                0.94448,                 0.5627,                0.73321,                0.70409,                0.49905,                 1.0193,                 1.0837,                0.95383,               0.009307,               0.009307,               0.009307
                     10,                 1.0685,                  1.065,                0.93655,                 0.6207,                0.70148,                0.69906,                0.48213,                 1.1195,                 1.0807,                0.98492,               0.009208,               0.009208,               0.009208
                     11,                 1.0679,                 1.0318,                0.94531,                0.57083,                0.73576,                0.65058,                0.45238,                 1.1459,                 1.0946,                 0.9975,               0.009109,               0.009109,               0.009109
                     12,                 1.0645,                 1.0462,                0.93647,                0.54963,                 0.7162,                 0.6326,                0.42136,                 1.2824,                 1.0993,                 1.0428,                0.00901,                0.00901,                0.00901
                     13,                 1.0622,                 1.0096,                0.93544,                0.61069,                0.72482,                 0.7154,                0.49932,                 1.0583,                 1.0857,                0.97071,               0.008911,               0.008911,               0.008911
                     14,                 1.0572,                 1.0061,                0.93412,                0.48816,                0.76556,                0.69521,                0.49656,                 1.0378,                 1.2317,                0.95671,               0.008812,               0.008812,               0.008812
                     15,                 1.0443,                0.98607,                0.93704,                0.56524,                0.75727,                0.71037,                0.51215,                  1.026,                 1.0016,                0.95424,               0.008713,               0.008713,               0.008713
                     16,                 1.0392,                0.96751,                0.92527,                0.63389,                0.72346,                0.71801,                0.50542,                 1.0818,                0.96939,                0.97259,               0.008614,               0.008614,               0.008614
                     17,                 1.0363,                 0.9455,                0.92821,                0.58794,                0.71716,                0.70728,                0.46888,                 1.1786,                 1.0433,                 1.0048,               0.008515,               0.008515,               0.008515
                     18,                 1.0317,                0.94693,                0.92943,                0.62419,                0.73299,                0.71821,                0.50541,                  1.077,                  1.001,                0.96829,               0.008416,               0.008416,               0.008416
                     19,                 1.0253,                0.93982,                0.92412,                0.61882,                0.74677,                0.73822,                0.52531,                 1.0221,                0.95989,                0.94932,               0.008317,               0.008317,               0.008317
                     20,                 1.0336,                0.92574,                0.93323,                0.62627,                0.75167,                0.72837,                0.52322,                 1.0426,                0.94987,                0.95729,               0.008218,               0.008218,               0.008218
                     21,                 1.0231,                0.92429,                0.92538,                0.61544,                0.74792,                0.74038,                0.51761,                 1.0334,                0.91735,                0.95047,               0.008119,               0.008119,               0.008119
                     22,                 1.0196,                0.92419,                0.92284,                0.64416,                0.75859,                0.75097,                0.54103,                 1.0105,                0.93225,                0.94853,                0.00802,                0.00802,                0.00802
                     23,                 1.0045,                 0.9039,                0.92034,                0.63776,                0.71629,                0.74394,                0.52711,                 1.0174,                0.93544,                0.95398,               0.007921,               0.007921,               0.007921
