                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2876,                 2.8232,                 1.0417,                0.06272,                 0.9054,                0.43209,                0.30219,                 1.0306,                  2.674,                0.97923,                 0.0712,                 0.0032,                 0.0032
                      2,                 1.1515,                 1.4914,                0.97976,                0.06793,                0.92592,                0.51434,                0.34778,                 1.0733,                 2.7453,                0.98675,               0.041436,              0.0064357,              0.0064357
                      3,                 1.1984,                 1.4229,                 0.9897,                0.58639,                0.50046,                0.58191,                0.34665,                 1.3655,                 1.8683,                 1.0798,               0.011606,               0.009606,               0.009606
                      4,                 1.2203,                 1.3262,                0.98315,                0.54435,                 0.6773,                0.61289,                0.40293,                 1.1628,                 1.4081,                0.99723,               0.009703,               0.009703,               0.009703
                      5,                 1.1622,                 1.2512,                0.96811,                0.49583,                0.70618,                0.61341,                0.41727,                 1.1291,                 1.3113,                  1.009,               0.009703,               0.009703,               0.009703
                      6,                 1.1436,                 1.2266,                0.95906,                0.54968,                0.68691,                0.65491,                0.45494,                 1.0469,                 1.1783,                0.96609,               0.009604,               0.009604,               0.009604
                      7,                 1.1164,                 1.1697,                0.95326,                 0.5452,                0.71307,                0.63747,                0.46264,                 1.0352,                  1.102,                0.96332,               0.009505,               0.009505,               0.009505
                      8,                 1.1156,                 1.1224,                0.95176,                0.59683,                0.69218,                 0.6645,                0.46813,                 1.0336,                 1.1621,                0.95786,               0.009406,               0.009406,               0.009406
                      9,                 1.0772,                 1.1072,                0.94173,                0.56988,                0.69773,                 0.6722,                0.47241,                  1.055,                  1.131,                0.95937,               0.009307,               0.009307,               0.009307
                     10,                  1.073,                 1.0833,                0.93574,                0.60434,                0.71465,                0.68855,                0.47382,                 1.1085,                 1.1018,                0.97784,               0.009208,               0.009208,               0.009208
                     11,                 1.0657,                  1.065,                0.94288,                0.58882,                0.72466,                0.69155,                0.49824,                 1.0451,                  1.011,                0.95871,               0.009109,               0.009109,               0.009109
                     12,                  1.069,                 1.0672,                0.93591,                  0.584,                0.74908,                0.69087,                0.48899,                  1.021,                 1.0319,                0.95236,                0.00901,                0.00901,                0.00901
                     13,                 1.0665,                 1.0342,                0.93549,                0.61312,                0.72428,                0.71708,                0.50119,                 1.0341,                 1.0797,                0.95644,               0.008911,               0.008911,               0.008911
                     14,                  1.067,                 1.0303,                0.93437,                0.56297,                0.74826,                0.71961,                0.51307,                 1.0163,                 1.0306,                0.95247,               0.008812,               0.008812,               0.008812
                     15,                 1.0539,                0.99289,                0.93587,                0.56692,                0.75701,                0.73843,                0.52053,                   1.02,                 1.0844,                0.94832,               0.008713,               0.008713,               0.008713
                     16,                 1.0348,                0.99547,                0.92269,                0.59835,                0.73455,                0.71421,                0.49704,                 1.1131,                0.97944,                 0.9788,               0.008614,               0.008614,               0.008614
                     17,                 1.0352,                0.97248,                 0.9266,                0.64078,                0.73416,                0.74441,                0.52175,                 1.0381,                0.97871,                0.96055,               0.008515,               0.008515,               0.008515
                     18,                 1.0306,                0.97155,                0.92876,                0.61362,                0.74022,                0.72108,                0.50527,                 1.0512,                0.97245,                0.95988,               0.008416,               0.008416,               0.008416
                     19,                 1.0353,                0.95332,                0.92461,                0.63102,                0.75515,                0.74974,                0.53595,                 1.0009,                0.92398,                0.94735,               0.008317,               0.008317,               0.008317
                     20,                 1.0413,                0.94574,                 0.9335,                0.62825,                0.74502,                0.74638,                0.53592,                0.99514,                0.90618,                0.94387,               0.008218,               0.008218,               0.008218
                     21,                  1.026,                0.95261,                0.92543,                0.62535,                0.75434,                0.72798,                0.52156,                 1.0215,                0.94958,                0.94955,               0.008119,               0.008119,               0.008119
                     22,                 1.0256,                0.94954,                0.92234,                0.64694,                0.73891,                0.74189,                0.53116,                 0.9954,                0.93506,                0.93965,                0.00802,                0.00802,                0.00802
                     23,                 1.0132,                0.92876,                 0.9207,                0.61859,                0.75007,                  0.743,                0.52438,                 1.0085,                 0.9497,                0.94831,               0.007921,               0.007921,               0.007921
                     24,                 1.0192,                0.93583,                0.92098,                0.63228,                0.74452,                0.72648,                0.52793,                 1.0108,                0.93958,                0.94701,               0.007822,               0.007822,               0.007822
                     25,                 1.0186,                0.91336,                0.92152,                0.61788,                0.75385,                0.73665,                0.52653,                 1.0065,                0.96205,                0.94608,               0.007723,               0.007723,               0.007723
                     26,                 1.0161,                0.91855,                0.92014,                0.62551,                0.73457,                 0.7214,                0.52076,                 1.0146,                0.96062,                0.94393,               0.007624,               0.007624,               0.007624
                     27,                 1.0045,                0.91674,                0.92264,                0.64499,                0.71811,                0.73295,                0.52741,                0.99585,                0.96124,                0.94224,               0.007525,               0.007525,               0.007525
                     28,                 1.0214,                0.90142,                0.91974,                0.63085,                0.76046,                0.75162,                0.54664,                0.97914,                0.92272,                0.93298,               0.007426,               0.007426,               0.007426
                     29,                 1.0157,                0.90016,                0.91927,                0.65253,                0.76099,                0.76442,                 0.5513,                0.98167,                0.88785,                 0.9389,               0.007327,               0.007327,               0.007327
                     30,                0.99837,                0.89179,                 0.9123,                0.61255,                0.75146,                0.74965,                0.52879,                  1.007,                0.95048,                0.94153,               0.007228,               0.007228,               0.007228
                     31,                0.99824,                0.88583,                0.91745,                0.64728,                0.73667,                0.75487,                0.53997,                 1.0249,                0.90975,                0.95123,               0.007129,               0.007129,               0.007129
                     32,                0.98888,                0.88498,                 0.9135,                0.64577,                0.74633,                0.74542,                0.54225,                0.98398,                0.93493,                0.93318,                0.00703,                0.00703,                0.00703
                     33,                0.99584,                0.88147,                0.91683,                0.63512,                 0.7571,                0.76018,                0.55114,                0.98833,                0.89789,                0.93795,               0.006931,               0.006931,               0.006931
                     34,                 1.0078,                0.87067,                0.91653,                0.65516,                0.74598,                0.74743,                0.53571,                0.99194,                0.88811,                0.93472,               0.006832,               0.006832,               0.006832
                     35,                0.99288,                 0.8785,                 0.9169,                 0.6456,                0.74167,                0.74136,                0.53912,                0.98645,                 0.9253,                0.93408,               0.006733,               0.006733,               0.006733
                     36,                 0.9847,                0.86584,                0.91655,                0.59972,                0.76922,                0.69374,                0.51374,                0.98085,                0.96683,                0.93323,               0.006634,               0.006634,               0.006634
                     37,                 0.9933,                0.87025,                0.91374,                0.64297,                 0.6985,                0.72001,                0.51871,                 1.0046,                0.93113,                0.94685,               0.006535,               0.006535,               0.006535
                     38,                 0.9918,                0.84885,                0.91206,                0.64964,                0.76692,                0.76629,                0.55223,                 1.0019,                0.89294,                0.94178,               0.006436,               0.006436,               0.006436
                     39,                0.98992,                0.85592,                0.91189,                0.63279,                0.75064,                0.74297,                0.53299,                0.99663,                 0.9344,                0.93997,               0.006337,               0.006337,               0.006337
