                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.9516,                 3.8835,                  3.725,                      0,                      0,                      0,                      0,                 5.2672,                  3.915,                 3.4868,                 0.0712,                 0.0032,                 0.0032
                      2,                  2.295,                 2.1098,                   1.95,                0.03649,                 0.3912,                 0.0788,                0.01829,                 3.3644,                 3.6514,                 2.8818,               0.041436,              0.0064357,              0.0064357
                      3,                 1.9969,                 1.8836,                 1.5485,                0.14566,                0.58812,                0.20477,                0.06819,                 2.2554,                 2.5074,                 1.8487,               0.011606,               0.009606,               0.009606
                      4,                 1.7875,                 1.7558,                 1.3466,                0.36767,                0.47091,                0.31654,                0.12015,                 1.9507,                 4.5449,                 1.4918,               0.009703,               0.009703,               0.009703
                      5,                 1.5667,                 1.6059,                 1.2107,                0.29497,                0.63761,                0.45623,                0.24242,                 1.3877,                 3.3343,                 1.2389,               0.009703,               0.009703,               0.009703
                      6,                  1.498,                 1.5723,                 1.1539,                0.34246,                0.64825,                0.39787,                0.24225,                 1.2141,                 2.0048,                 1.0925,               0.009604,               0.009604,               0.009604
                      7,                   1.42,                 1.4812,                 1.1149,                0.47553,                0.62857,                0.53655,                0.34209,                 1.2088,                 1.3297,                 1.0732,               0.009505,               0.009505,               0.009505
                      8,                 1.3633,                 1.4311,                 1.0915,                0.51184,                0.53884,                 0.5067,                0.30303,                  1.346,                  1.438,                 1.1126,               0.009406,               0.009406,               0.009406
                      9,                 1.3107,                 1.3914,                 1.0667,                0.54105,                0.62276,                0.60049,                0.39124,                  1.197,                 1.3605,                  1.053,               0.009307,               0.009307,               0.009307
                     10,                 1.2801,                 1.3529,                 1.0468,                0.58063,                0.61589,                0.61219,                0.39624,                 1.1743,                 1.2611,                 1.0573,               0.009208,               0.009208,               0.009208
                     11,                 1.2453,                 1.3282,                 1.0482,                0.51471,                0.61502,                0.55918,                0.37933,                  1.118,                 1.2005,                 1.0262,               0.009109,               0.009109,               0.009109
                     12,                 1.2537,                 1.3105,                 1.0346,                0.53491,                0.63108,                0.59739,                0.39481,                 1.1483,                 1.2032,                 1.0396,                0.00901,                0.00901,                0.00901
                     13,                 1.2393,                 1.2722,                 1.0295,                0.48094,                 0.5966,                0.52019,                0.33291,                 1.1632,                 1.3782,                 1.0325,               0.008911,               0.008911,               0.008911
                     14,                 1.2199,                 1.2741,                 1.0232,                0.50533,                0.64033,                0.59375,                0.40137,                 1.1357,                 1.1586,                 1.0285,               0.008812,               0.008812,               0.008812
                     15,                 1.1984,                  1.225,                 1.0218,                0.52835,                0.64308,                0.60022,                0.41259,                 1.0811,                 1.1378,                 1.0066,               0.008713,               0.008713,               0.008713
                     16,                 1.1846,                 1.2066,                 1.0044,                0.47255,                0.62339,                0.56268,                 0.3764,                 1.1655,                  1.215,                 1.0313,               0.008614,               0.008614,               0.008614
                     17,                 1.1745,                 1.1676,                 1.0028,                0.55545,                0.65241,                0.63026,                0.43251,                 1.0943,                 1.2298,                 1.0119,               0.008515,               0.008515,               0.008515
