                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9549,                 3.2393,                 1.3231,                0.04225,                0.63441,                0.19834,                0.11951,                 1.5143,                 3.0787,                 1.1588,                 0.0712,                 0.0032,                 0.0032
                      2,                 1.3456,                 1.7839,                 1.0589,                0.05241,                0.71775,                  0.434,                0.27493,                 1.1521,                 2.9309,                 1.0152,               0.041436,              0.0064357,              0.0064357
                      3,                 1.3527,                  1.634,                 1.0281,                0.02538,                0.32702,                0.15738,                0.07923,                 1.7076,                 3.2254,                 1.2696,               0.011606,               0.009606,               0.009606
                      4,                 1.3273,                 1.5423,                0.99563,                0.36707,                0.50063,                0.36884,                0.19627,                   1.52,                  1.952,                 1.0676,               0.009703,               0.009703,               0.009703
                      5,                 1.2544,                 1.4145,                0.96966,                0.46841,                0.63129,                0.56893,                0.34355,                  1.374,                  1.538,                 1.0455,               0.009703,               0.009703,               0.009703
                      6,                   1.22,                 1.3704,                0.95361,                0.47496,                 0.6551,                 0.5951,                0.40101,                 1.1066,                 1.3322,                0.94586,               0.009604,               0.009604,               0.009604
                      7,                 1.1882,                 1.3065,                0.94398,                0.44769,                0.69146,                0.60894,                 0.4147,                 1.1091,                 1.3256,                0.94795,               0.009505,               0.009505,               0.009505
                      8,                 1.1756,                 1.2588,                0.94114,                0.59507,                0.38806,                0.47784,                0.28439,                 1.3501,                 2.1594,                 1.0019,               0.009406,               0.009406,               0.009406
                      9,                 1.1429,                 1.2511,                 0.9303,                  0.531,                0.64822,                0.59162,                0.40833,                 1.1202,                 1.3684,                0.94501,               0.009307,               0.009307,               0.009307
                     10,                 1.1193,                  1.221,                0.92208,                0.51055,                0.65452,                0.61433,                0.41142,                 1.1771,                 1.3062,                0.96802,               0.009208,               0.009208,               0.009208
                     11,                 1.1209,                 1.1955,                0.92701,                0.58658,                0.69178,                0.66393,                0.45367,                 1.1283,                 1.1648,                0.93642,               0.009109,               0.009109,               0.009109
                     12,                 1.1236,                  1.192,                0.92412,                0.54205,                0.73988,                0.67135,                 0.4695,                 1.0774,                 1.1995,                0.92747,                0.00901,                0.00901,                0.00901
                     13,                 1.1179,                 1.1501,                0.91994,                0.56344,                0.69494,                0.64758,                0.45075,                 1.0688,                 1.2028,                0.93052,               0.008911,               0.008911,               0.008911
                     14,                 1.1172,                 1.1417,                0.92112,                0.47359,                0.71249,                0.65254,                0.46074,                  1.071,                 1.2216,                0.93037,               0.008812,               0.008812,               0.008812
                     15,                 1.1002,                 1.1253,                0.92115,                0.46035,                0.68129,                0.58709,                0.40631,                  1.109,                 1.2556,                0.95308,               0.008713,               0.008713,               0.008713
                     16,                  1.082,                 1.1118,                0.91098,                0.55829,                 0.7304,                0.68958,                0.47373,                 1.0889,                 1.0865,                0.93434,               0.008614,               0.008614,               0.008614
                     17,                 1.0831,                  1.083,                0.91267,                0.59772,                0.71648,                0.70078,                0.49099,                 1.0539,                 1.0585,                0.92422,               0.008515,               0.008515,               0.008515
                     18,                 1.0827,                 1.0796,                0.91365,                0.60351,                0.70054,                0.69249,                0.47918,                 1.0751,                 1.1543,                0.92891,               0.008416,               0.008416,               0.008416
