                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6212,                 3.3489,                 1.7855,                0.00017,                0.00108,                  9e-05,                  2e-05,                 1.7545,                  3.363,                 1.4952,                 0.0712,                 0.0032,                 0.0032
                      2,                 1.4805,                 1.7671,                  1.125,                0.25439,                0.43086,                0.31548,                0.21355,                 1.2338,                 2.8862,                 1.1561,               0.041436,              0.0064357,              0.0064357
                      3,                 1.3908,                 1.6864,                 1.0891,                0.40237,                0.37826,                0.41102,                0.26454,                 1.2866,                 2.0084,                 1.1167,               0.011606,               0.009606,               0.009606
                      4,                 1.3478,                 1.5587,                 1.0664,                0.47784,                0.59372,                0.51562,                0.31739,                 1.2167,                 1.4614,                 1.0634,               0.009703,               0.009703,               0.009703
                      5,                 1.2631,                 1.4134,                 1.0345,                0.53625,                  0.624,                 0.5924,                0.37273,                 1.2232,                 1.3541,                 1.0571,               0.009703,               0.009703,               0.009703
                      6,                 1.2262,                 1.3687,                 1.0101,                 0.4857,                0.65821,                0.58327,                0.38107,                 1.1218,                 1.3792,                 1.0135,               0.009604,               0.009604,               0.009604
                      7,                 1.1736,                 1.3061,                0.99727,                0.45528,                 0.6359,                0.55885,                0.39144,                 1.0518,                  1.324,                0.99446,               0.009505,               0.009505,               0.009505
                      8,                  1.157,                 1.2553,                0.99362,                0.46577,                 0.6687,                0.56817,                0.38312,                 1.1367,                 1.2758,                 1.0148,               0.009406,               0.009406,               0.009406
                      9,                 1.1347,                 1.2324,                0.98495,                0.48611,                 0.6685,                0.61192,                0.41969,                 1.0515,                 1.2475,                0.99305,               0.009307,               0.009307,               0.009307
                     10,                 1.1071,                 1.2066,                0.97274,                0.53886,                0.65085,                0.61027,                0.41017,                 1.1207,                 1.1586,                 1.0091,               0.009208,               0.009208,               0.009208
                     11,                  1.103,                 1.1763,                0.98125,                0.49935,                0.68783,                0.61965,                0.43229,                 1.0567,                 1.1536,                0.98746,               0.009109,               0.009109,               0.009109
                     12,                 1.1119,                 1.1655,                0.97363,                0.52372,                0.68207,                0.61471,                0.40942,                 1.1278,                 1.1192,                 1.0192,                0.00901,                0.00901,                0.00901
                     13,                 1.0906,                 1.1398,                0.96764,                0.56196,                0.70518,                0.63528,                0.44246,                 1.0422,                 1.1223,                0.98243,               0.008911,               0.008911,               0.008911
                     14,                 1.0954,                 1.1243,                0.96856,                0.43211,                0.68683,                0.59495,                0.42712,                 1.0208,                 1.1674,                0.98181,               0.008812,               0.008812,               0.008812
                     15,                 1.0736,                 1.0963,                 0.9719,                0.43839,                0.66048,                0.61841,                0.42545,                  1.072,                 1.3453,                0.99983,               0.008713,               0.008713,               0.008713
                     16,                 1.0653,                 1.0807,                0.95531,                0.53419,                0.68015,                0.63607,                0.43444,                 1.1356,                 1.0991,                 1.0129,               0.008614,               0.008614,               0.008614
                     17,                 1.0575,                 1.0625,                0.95895,                0.60099,                0.69293,                0.69205,                0.48941,                 1.0256,                 1.0501,                0.97962,               0.008515,               0.008515,               0.008515
                     18,                 1.0615,                 1.0496,                0.96164,                0.57939,                0.70113,                0.66912,                0.46466,                  1.057,                 1.0517,                 0.9875,               0.008416,               0.008416,               0.008416
                     19,                  1.051,                 1.0422,                0.95311,                0.54802,                0.68945,                0.64597,                0.44606,                 1.1021,                 1.0236,                 1.0035,               0.008317,               0.008317,               0.008317
                     20,                 1.0605,                 1.0231,                0.96339,                0.53149,                0.71666,                0.67593,                0.47671,                 1.0452,                 1.0343,                0.98167,               0.008218,               0.008218,               0.008218
                     21,                 1.0475,                 1.0303,                0.95648,                0.58691,                0.70824,                0.68667,                0.48712,                 1.0199,                0.98297,                0.97092,               0.008119,               0.008119,               0.008119
                     22,                 1.0447,                 1.0302,                0.95105,                0.57246,                0.71242,                0.66788,                0.46872,                 1.0642,                 0.9839,                0.98653,                0.00802,                0.00802,                0.00802
                     23,                 1.0302,                 1.0082,                0.94918,                0.50209,                0.68638,                0.63976,                 0.4323,                 1.1331,                 1.1221,                 1.0149,               0.007921,               0.007921,               0.007921
                     24,                 1.0414,                 1.0155,                0.95142,                0.57082,                0.72139,                0.67229,                0.48152,                 1.0149,                0.99341,                0.96829,               0.007822,               0.007822,               0.007822
