                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2893,                 2.7563,                 1.0361,                0.06249,                0.88203,                 0.3918,                 0.2884,                 1.0297,                 2.5682,                0.98528,                 0.0712,                 0.0032,                 0.0032
                      2,                 1.1759,                 1.4965,                 0.9945,                0.06866,                0.97417,                0.56507,                0.37166,                 1.1333,                 2.3949,                 1.0111,               0.041436,              0.0064357,              0.0064357
                      3,                 1.2242,                 1.4145,                 1.0063,                0.59501,                0.53813,                0.60813,                0.36271,                  1.281,                 1.7706,                 1.0743,               0.011606,               0.009606,               0.009606
                      4,                 1.2247,                 1.3391,                 1.0001,                0.52312,                0.60099,                0.57534,                0.34439,                 1.3768,                 1.3659,                 1.0981,               0.009703,               0.009703,               0.009703
                      5,                 1.1603,                 1.2446,                0.98172,                0.39089,                0.62951,                0.52369,                0.33948,                 1.2531,                 1.6654,                 1.0729,               0.009703,               0.009703,               0.009703
                      6,                 1.1559,                   1.21,                0.97059,                0.51982,                0.67673,                0.62611,                0.43606,                  1.049,                 1.1696,                  0.982,               0.009604,               0.009604,               0.009604
                      7,                 1.1196,                  1.157,                0.96367,                0.45514,                0.70326,                0.62598,                0.44886,                  1.046,                  1.205,                0.97247,               0.009505,               0.009505,               0.009505
                      8,                 1.1153,                 1.1132,                0.96301,                0.55659,                0.70182,                0.63819,                0.44576,                 1.0452,                 1.1364,                 0.9693,               0.009406,               0.009406,               0.009406
                      9,                 1.0823,                  1.096,                0.95277,                0.59485,                0.72501,                0.69216,                0.48727,                 1.0468,                 1.0524,                0.96954,               0.009307,               0.009307,               0.009307
                     10,                  1.064,                 1.0865,                0.94374,                0.57728,                0.73886,                0.70754,                0.48581,                 1.1327,                 1.0513,                0.99298,               0.009208,               0.009208,               0.009208
                     11,                 1.0661,                 1.0441,                0.95256,                 0.5758,                0.74351,                0.69101,                0.48515,                 1.0406,                 1.0092,                0.96078,               0.009109,               0.009109,               0.009109
                     12,                 1.0641,                 1.0619,                0.94349,                0.57022,                0.74084,                0.66626,                 0.4618,                 1.0976,                 1.1093,                0.98376,                0.00901,                0.00901,                0.00901
                     13,                 1.0622,                 1.0182,                0.94391,                0.61617,                0.72748,                0.72027,                0.50495,                  1.031,                 1.0564,                0.96741,               0.008911,               0.008911,               0.008911
                     14,                 1.0641,                 1.0094,                0.94317,                 0.4694,                0.73028,                0.67172,                0.46657,                 1.1477,                 1.2452,                0.99847,               0.008812,               0.008812,               0.008812
                     15,                 1.0481,                0.97988,                0.94419,                0.54688,                0.74488,                 0.7003,                0.49335,                 1.1194,                 1.0678,                0.99312,               0.008713,               0.008713,               0.008713
                     16,                 1.0309,                 0.9836,                0.93153,                0.62934,                0.73554,                0.73167,                0.51794,                 1.0445,                0.96953,                0.96744,               0.008614,               0.008614,               0.008614
                     17,                 1.0364,                 0.9542,                0.93459,                0.63836,                0.72635,                0.74669,                0.52611,                 1.0496,                0.99646,                0.96783,               0.008515,               0.008515,               0.008515
                     18,                 1.0297,                0.95004,                0.93586,                0.62818,                0.73754,                0.72162,                0.52066,                  1.021,                 0.9924,                 0.9565,               0.008416,               0.008416,               0.008416
                     19,                  1.026,                0.94486,                0.93015,                0.60554,                 0.7338,                 0.7303,                0.51432,                 1.0465,                0.97099,                0.96442,               0.008317,               0.008317,               0.008317
                     20,                 1.0343,                0.93091,                0.93892,                0.62168,                0.76042,                0.74193,                0.53664,                0.99982,                0.94346,                0.95206,               0.008218,               0.008218,               0.008218
                     21,                 1.0196,                0.93378,                0.93132,                0.62374,                0.73627,                0.73497,                 0.5259,                 1.0247,                0.93735,                0.95682,               0.008119,               0.008119,               0.008119
